date,link,text
2018-05-18 08:49,https://newyork.craigslist.org/mnh/egr/d/project-completion-manager/6592226548.html,Project Completion Manager
2018-05-17 14:46,https://newyork.craigslist.org/mnh/egr/d/revit-expert-needed-at-high/6591674753.html,Revit Expert needed at High-End Glass Wall Company
2018-05-17 14:34,https://newyork.craigslist.org/fct/egr/d/survey-cad-technician-join/6591660041.html,====SURVEY CAD TECHNICIAN==== Join a Fortune 500 company!
2018-05-17 13:22,https://newyork.craigslist.org/mnh/egr/d/jr-architect-furniture/6591574523.html,Jr Architect & Furniture designer needed Architecture/Interiors Studio
2018-05-17 12:54,https://newyork.craigslist.org/brx/egr/d/steel-detailer/6591541975.html,Steel Detailer
2018-05-17 12:28,https://newyork.craigslist.org/mnh/egr/d/kitchen-designer-sales/6591509998.html,KITCHEN DESIGNER/ SALES
2018-05-17 11:46,https://newyork.craigslist.org/mnh/egr/d/senior-interior-designer-for/6591459673.html,Senior Interior Designer for high-end residential studio
2018-05-17 10:16,https://newyork.craigslist.org/mnh/egr/d/project-supervisor-40-50k/6591363243.html,Project Supervisor -- $40-50k
2018-05-17 09:55,https://newyork.craigslist.org/que/egr/d/construction-superintendent/6591343582.html,CONSTRUCTION SUPERINTENDENT
2018-05-17 09:45,https://newyork.craigslist.org/mnh/egr/d/senior-architect/6591334731.html,Senior Architect
2018-05-17 01:37,https://newyork.craigslist.org/mnh/egr/d/looking-for-senior-electrical/6591205174.html,Looking for a Senior Electrical Engineer
2018-05-16 18:16,https://newyork.craigslist.org/mnh/egr/d/part-time-ra-pe-needed/6590953283.html,Part-time RA/PE Needed
2018-05-16 18:05,https://newyork.craigslist.org/mnh/egr/d/junior-draftsman-needed-cad/6590943416.html,Junior Draftsman Needed (CAD)-Safety Plans
2018-05-16 16:35,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6590854605.html,Junior Architect
2018-05-16 14:15,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-real/6590695768.html,Mechanical Engineer - Real Estate - 90k-100k
2018-05-16 13:38,https://newyork.craigslist.org/que/egr/d/draftsman-cad-operator/6590651887.html,Draftsman/CAD Operator - Concrete Construction
